日期,委托时间,品种,股票代码,买卖类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-4-9,13:00:00,股票,*ST园城(600766.XSHG),卖,市价单,-1800股,15.61,-28098,-1800股,-,-2466,19.05,全部成交,2024-4-9 13:00
2024-4-9,13:00:00,股票,*ST同达(600647.XSHG),卖,市价单,-2800股,11.19,-31332,-2800股,-,1036,20.67,全部成交,2024-4-9 13:00
2024-4-10,9:30:00,股票,ST中嘉(000889.XSHE),买,市价单,16800股,1.78,29904,16800股,-,0,5,全部成交,2024-4-10 9:30
2024-4-10,13:00:00,股票,*ST东洋(002086.XSHE),卖,市价单,-12700股,2.52,-32004,-12700股,-,0,21,全部成交,2024-4-10 13:00
2024-4-10,13:00:00,股票,*ST凯撒(000796.XSHE),卖,市价单,-9500股,3.38,-32110,-9500股,-,190,21.06,全部成交,2024-4-10 13:00
2024-4-11,13:00:00,股票,ST中嘉(000889.XSHE),卖,市价单,-16800股,1.72,-28896,-16800股,-,-1008,19.45,全部成交,2024-4-11 13:00
2024-4-19,9:30:00,股票,S佳通(600182.XSHG),买,市价单,2000股,14.89,29780,2000股,-,0,5,全部成交,2024-4-19 9:30
2024-4-19,9:30:00,股票,ST洲际(600759.XSHG),买,市价单,11500股,2.66,30590,11500股,-,0,5,全部成交,2024-4-19 9:30
2024-4-22,13:00:00,股票,S佳通(600182.XSHG),卖,市价单,-2000股,15.36,-30720,-2000股,-,940,20.36,全部成交,2024-4-22 13:00
2024-4-23,13:00:00,股票,ST洲际(600759.XSHG),卖,市价单,-11500股,2.7,-31050,-11500股,-,460,20.52,全部成交,2024-4-23 13:00
2024-4-26,9:30:00,股票,ST浩源(002700.XSHE),买,市价单,5200股,5.9,30680,5200股,-,0,5,全部成交,2024-4-26 9:30
2024-4-29,13:00:00,股票,ST浩源(002700.XSHE),卖,市价单,-5200股,6.12,-31824,-5200股,-,1144,20.91,全部成交,2024-4-29 13:00
2024-4-30,9:30:00,股票,ST国安(000839.XSHE),买,市价单,15000股,2.08,31200,15000股,-,0,5,全部成交,2024-4-30 9:30
2024-5-6,9:30:00,股票,ST金运(300220.XSHE),买,市价单,4400股,6.98,30712,4400股,-,0,5,全部成交,2024-5-6 9:30
2024-5-6,9:30:00,股票,ST金鸿(000669.XSHE),买,市价单,20600股,1.52,31312,20600股,-,0,5,全部成交,2024-5-6 9:30
2024-5-6,9:30:00,股票,*ST全新(000007.XSHE),买,市价单,7300股,4.26,31098,7300股,-,0,5,全部成交,2024-5-6 9:30
2024-5-6,13:00:00,股票,ST国安(000839.XSHE),卖,市价单,-15000股,2.22,-33300,-15000股,-,2100,21.65,全部成交,2024-5-6 13:00
2024-5-7,9:30:00,股票,*ST惠天(000692.XSHE),买,市价单,12500股,2.74,34250,12500股,-,0,5,全部成交,2024-5-7 9:30
2024-5-7,13:00:00,股票,ST金运(300220.XSHE),卖,市价单,-4400股,7.14,-31416,-4400股,-,704,20.71,全部成交,2024-5-7 13:00
2024-5-7,13:00:00,股票,ST金鸿(000669.XSHE),卖,市价单,-20600股,1.57,-32342,-20600股,-,1030,21.17,全部成交,2024-5-7 13:00
2024-5-7,13:00:00,股票,*ST全新(000007.XSHE),卖,市价单,-7300股,4.08,-29784,-7300股,-,-1314,19.89,全部成交,2024-5-7 13:00
2024-5-8,9:30:00,股票,ST实华(000637.XSHE),买,市价单,9100股,3.42,31122,9100股,-,0,5,全部成交,2024-5-8 9:30
2024-5-8,9:30:00,股票,ST奥康(603001.XSHG),买,市价单,6500股,4.72,30680,6500股,-,0,5,全部成交,2024-5-8 9:30
2024-5-8,9:30:00,股票,ST起步(603557.XSHG),买,市价单,18700股,1.66,31042,18700股,-,0,5,全部成交,2024-5-8 9:30
2024-5-8,13:00:00,股票,*ST惠天(000692.XSHE),卖,市价单,-12500股,2.9,-36250,-12500股,-,2000,23.12,全部成交,2024-5-8 13:00
2024-5-9,9:30:00,股票,*ST金科(000656.XSHE),买,市价单,28700股,1.28,36736,28700股,-,0,5,全部成交,2024-5-9 9:30
2024-5-9,13:00:00,股票,ST实华(000637.XSHE),卖,市价单,-9100股,3.47,-31577,-9100股,-,455,20.79,全部成交,2024-5-9 13:00
2024-5-9,13:00:00,股票,ST奥康(603001.XSHG),卖,市价单,-6500股,4.74,-30810,-6500股,-,130,20.4,全部成交,2024-5-9 13:00
2024-5-9,13:00:00,股票,ST起步(603557.XSHG),卖,市价单,-18700股,1.8,-33660,-18700股,-,2618,21.83,全部成交,2024-5-9 13:00
2024-5-10,9:30:00,股票,ST通葡(600365.XSHG),买,市价单,11000股,2.9,31900,11000股,-,0,5,全部成交,2024-5-10 9:30
2024-5-10,13:00:00,股票,*ST金科(000656.XSHE),卖,市价单,-28700股,1.33,-38171,-28700股,-,1435,24.09,全部成交,2024-5-10 13:00
2024-5-13,9:30:00,股票,ST中嘉(000889.XSHE),买,市价单,20200股,1.68,33936,20200股,-,0,5,全部成交,2024-5-13 9:30
2024-5-13,13:00:00,股票,ST通葡(600365.XSHG),卖,市价单,-11000股,2.78,-30580,-11000股,-,-1320,20.29,全部成交,2024-5-13 13:00
2024-5-14,14:00:00,股票,ST中嘉(000889.XSHE),卖,市价单,-20200股,1.72,-34744,-20200股,-,808,22.37,全部成交,2024-5-14 14:00
