日期,股票代码,买卖类型,成交价
20241028,600804,1,1.5
20241029,603388,2,2.26
20241030,002808,1,2.72
20241031,600804,2,1.54
20241031,002808,2,2.84
20241101,000609,1,2.34
20241101,000851,1,3.14
20241101,603959,2,2.6
20241101,000908,2,5.12
20241104,603377,1,1.9
20241104,600289,1,1.69
20241105,000851,2,3.14
20241105,600289,2,1.7
20241106,600303,1,2.9
20241106,600715,1,2.3
20241106,000609,2,2.52
20241106,603377,2,2.22
20241107,000609,1,2.38
20241107,000669,1,1.74
20241107,600303,2,3.04
20241107,600715,2,2.33
20241108,600190,1,1.8
20241108,600165,1,2.05
20241108,000609,2,2.42
20241108,000669,2,1.8
20241111,603879,1,3.8
20241111,600462,1,1.5
20241112,600165,2,2.32
20241112,600462,2,1.58
20241112,600190,2,1.94
20241112,603879,2,4.11
20241113,002425,1,2.46
20241113,603388,1,2.84
20241113,002141,1,1.58
20241113,603879,1,3.94
20241114,002425,2,2.5
20241114,002141,2,1.61
20241114,603879,2,4.06
20241115,000851,1,3.88
20241115,000615,1,2.76
20241115,603388,2,2.64
20241118,603828,1,3.36
20241118,600462,1,1.52
20241120,603828,2,3.24
20241120,600462,2,1.52
20241121,000851,2,3.8
20241122,002310,1,2.5
20241122,000752,1,8.17
20241122,000656,1,1.7
20241125,000752,2,8.49
20241125,000656,2,1.64
20241127,000615,2,3.48
20241128,002822,1,3.96
20241128,002168,1,2.84
20241128,600234,1,5.08
20241129,002310,2,2.22
20241129,002822,2,4.01
20241129,600234,2,5.11
20241202,000615,1,3.74
20241202,603388,1,2.86
20241202,002808,1,3.78
20241203,002168,2,2.84
20241203,000615,2,4.18
20241203,603388,2,3.04
20241204,002251,1,3.98
20241204,002024,1,2.14
20241204,002808,2,4.26
20241205,002808,1,4.16
20241205,603388,1,3.14
20241205,002251,2,3.98
20241205,002024,2,2.16
20241206,603003,1,6.12
20241206,002005,1,2.01
20241206,002808,2,4
20241206,603388,2,3.49
20241209,002425,1,2.5
20241209,002141,1,1.76
20241209,603003,2,6.42
20241210,600136,1,2.12
20241210,002425,2,2.6
20241210,002141,2,1.78
20241211,002822,1,4.39
20241211,002336,1,5.6
20241211,600136,2,2.16
20241212,600381,1,3.48
20241212,002822,2,4.44
20241212,002336,2,6.1
20241213,002005,2,2.08
20241213,600381,2,3.6
20241216,600360,1,5.2
20241217,600234,1,6.64
